HEADER	
'time'	'pressure drop'
UNITS	
'hour'	'bar'
0	0.02941
0.017	0.03084
0.033	0.03098
0.05	0.04259
0.067	0.06843
0.083	0.05773
0.1	0.06872
0.117	0.06926
0.133	0.06763
0.15	0.06812
0.167	0.06984
0.183	0.0706
0.2	0.07101
0.217	0.07281
0.233	0.0722
0.25	0.0729
0.267	0.07235
0.283	0.07387
0.3	0.07325
0.317	0.07461
0.333	0.07469
0.35	0.07415
0.367	0.07436
0.383	0.07513
0.4	0.07601
0.417	0.07517
0.433	0.07579
0.45	0.07704
0.467	0.07606
0.483	0.07617
0.5	0.06229
0.517	0.06817
0.533	0.0751
0.55	0.08313
0.567	0.06912
0.583	0.07512
0.6	0.0723
0.617	0.09438
0.633	0.06375
0.65	0.07337
0.667	0.0765
0.683	0.07482
0.7	0.07593
0.717	0.07615
0.733	0.07633
0.75	0.0767
0.767	0.07614
0.783	0.07685
0.8	0.07599
0.817	0.07558
0.833	0.07708
0.85	0.07524
0.867	0.0761
0.883	0.07918
0.9	0.07321
0.917	0.07486
0.933	0.07807
0.95	0.07823
0.967	0.07374
0.983	0.07556
1	0.07623
1.017	0.07636
1.033	0.07685
1.05	0.07724
1.067	0.06294
1.083	0.06536
1.1	0.07306
1.117	0.07823
1.133	0.06061
1.15	0.07011
1.167	0.07511
1.183	0.07364
1.2	0.07081
1.217	0.07132
1.233	0.07637
1.25	0.07552
1.267	0.07405
1.283	0.07468
1.3	0.07548
1.317	0.07446
1.333	0.073
1.35	0.07541
1.367	0.07722
1.383	0.07635
1.4	0.07415
1.417	0.07404
1.433	0.07445
1.45	0.07716
1.467	0.07664
1.483	0.07289
1.5	0.07195
1.517	0.07557
1.533	0.07496
1.55	0.07278
1.567	0.07062
1.583	0.07083
1.6	0.07179
1.617	0.07279
1.633	0.07359
1.65	0.07316
1.667	0.0736
1.683	0.06978
1.7	0.06608
1.717	0.06463
1.733	0.06354
1.75	0.06395
1.767	0.06299
1.783	0.06381
1.8	0.06962
1.817	0.06739
1.833	0.06701
1.85	0.0678
1.867	0.07393
1.883	0.07059
1.9	0.07192
1.917	0.06368
1.933	0.07327
1.95	0.07796
1.967	0.06508
1.983	0.0655
2	0.07203
2.017	0.07722
2.033	0.06894
2.05	0.06467
2.067	0.06927
2.083	0.0755
2.1	0.07101
2.117	0.06973
2.133	0.06917
2.15	0.06838
2.167	0.07002
2.183	0.07103
2.2	0.07141
2.217	0.06946
2.233	0.06783
2.25	0.06859
2.267	0.06992
2.283	0.07122
2.3	0.07066
2.317	0.06769
2.333	0.06722
2.35	0.06847
2.367	0.06912
2.383	0.07052
2.4	0.06847
2.417	0.06692
2.433	0.06675
2.45	0.06964
2.467	0.06968
2.483	0.06896
2.5	0.06755
2.517	0.06873
2.533	0.07082
2.55	0.06916
2.567	0.06688
2.583	0.06589
2.6	0.06547
2.617	0.0686
2.633	0.0677
2.65	0.06818
2.667	0.06909
2.683	0.06773
2.7	0.06672
2.717	0.06661
2.733	0.06965
2.75	0.06953
2.767	0.06825
2.783	0.06689
2.8	0.06691
2.817	0.0685
2.833	0.06843
2.85	0.06767
2.867	0.06462
2.883	0.06509
2.9	0.06825
2.917	0.06847
2.933	0.06793
2.95	0.06616
2.967	0.06614
2.983	0.06538
3	0.07116
3.017	0.06925
3.033	0.06473
3.05	0.06589
3.067	0.06663
3.083	0.06855
3.1	0.06898
3.117	0.06836
3.133	0.0671
3.15	0.06679
3.167	0.06678
3.183	0.06837
3.2	0.06798
3.217	0.06698
3.233	0.0665
3.25	0.06389
3.267	0.06291
3.283	0.06414
3.3	0.0835
3.317	0.07147
3.333	0.05767
3.35	0.0562
3.367	0.0647
3.383	0.07237
3.4	0.05575
3.417	0.05952
3.433	0.06799
3.45	0.05875
3.467	0.06924
3.483	0.07068
3.5	0.04953
3.517	0.06108
3.533	0.06503
3.55	0.06092
3.567	0.08055
3.583	0.05735
3.6	0.05422
3.617	0.06454
3.633	0.06638
3.65	0.05792
3.667	0.05381
3.683	0.0617
3.7	0.0583
3.717	0.06807
3.733	0.05828
3.75	0.05871
3.767	0.06782
3.783	0.06353
3.8	0.06241
3.817	0.06304
3.833	0.05762
3.85	0.05035
3.867	0.06529
