HEADER	
'time'	'pressure drop'
UNITS	
'hour'	'bar'
0.017	0.02246
0.033	0.02425
0.05	0.02926
0.066	0.0453
0.083	0.06023
0.1	0.0688
0.117	0.07269
0.133	0.07635
0.15	0.07851
0.167	0.08063
0.183	0.08216
0.2	0.0834
0.216	0.08496
0.233	0.08546
0.25	0.0676
0.267	0.08481
0.283	0.08616
0.3	0.0877
0.317	0.08887
0.333	0.08946
0.35	0.09053
0.366	0.09196
0.383	0.09252
0.4	0.09331
0.417	0.09369
0.433	0.09445
0.45	0.09496
0.467	0.09583
0.483	0.09635
0.5	0.09685
0.516	0.09731
0.533	0.09818
0.55	0.09842
0.567	0.09933
0.583	0.09989
0.6	0.10058
0.617	0.10086
0.633	0.10139
0.65	0.10191
0.666	0.10255
0.683	0.10281
0.7	0.10351
0.717	0.10425
0.733	0.10434
0.75	0.10478
0.767	0.10513
0.783	0.10546
0.8	0.09952
0.816	0.10243
0.833	0.10441
0.85	0.10497
0.867	0.10558
0.883	0.10638
0.9	0.10685
0.917	0.10732
0.933	0.10749
0.95	0.10786
0.966	0.1085
0.983	0.10868
1	0.10898
1.017	0.10958
1.033	0.10923
1.05	0.10957
1.067	0.10982
1.083	0.1101
1.1	0.11056
1.116	0.11105
1.133	0.11144
1.15	0.11199
1.167	0.11188
1.183	0.11175
1.2	0.11254
1.217	0.11305
1.233	0.11297
1.25	0.11366
1.266	0.11318
1.283	0.11336
1.3	0.1141
1.317	0.11415
1.333	0.11471
1.35	0.10585
1.367	0.10897
1.383	0.11055
1.4	0.11214
1.416	0.11366
1.433	0.11448
1.45	0.11456
1.467	0.11483
1.483	0.1155
1.5	0.11578
1.517	0.11584
1.533	0.11603
1.55	0.11655
1.566	0.11713
1.583	0.11724
1.6	0.11702
1.617	0.11723
1.633	0.11772
1.65	0.11846
1.667	0.11799
1.683	0.11866
1.7	0.11841
1.716	0.11888
1.733	0.11871
1.75	0.11909
1.767	0.11946
1.783	0.11967
1.8	0.11968
1.817	0.1203
1.833	0.12
1.85	0.12009
1.866	0.12049
1.883	0.1054
1.9	0.1132
1.917	0.11596
1.933	0.11767
1.95	0.11822
1.967	0.11935
1.983	0.12026
2	0.12055
2.016	0.12088
2.033	0.12132
2.05	0.12088
2.067	0.12171
2.083	0.12166
2.1	0.1217
2.117	0.12182
2.133	0.12201
2.15	0.12184
2.166	0.122
2.183	0.12306
2.2	0.12303
2.217	0.12292
2.233	0.12349
2.25	0.12272
2.267	0.12311
2.283	0.12323
2.3	0.12309
2.316	0.12337
2.333	0.12393
2.35	0.12399
2.367	0.12428
2.383	0.12422
2.4	0.12448
2.417	0.1254
2.433	0.12511
2.45	0.11568
2.466	0.1178
2.483	0.11882
2.5	0.12094
2.517	0.12276
2.533	0.12388
2.55	0.12452
2.567	0.12408
2.583	0.12534
2.6	0.12561
2.616	0.12609
2.633	0.1265
2.65	0.12618
2.667	0.12601
2.683	0.12499
2.7	0.12532
2.717	0.12579
2.733	0.12589
2.75	0.12591
2.766	0.12782
2.783	0.12624
2.8	0.12546
2.817	0.12618
2.833	0.12632
2.85	0.12701
2.867	0.12796
2.883	0.12689
2.9	0.12625
2.916	0.12658
2.933	0.12634
2.95	0.12764
2.967	0.12767
2.983	0.1172
3	0.11776
3.017	0.1192
3.033	0.11965
3.05	0.12334
3.066	0.12172
3.083	0.12286
3.1	0.12237
3.117	0.1245
3.133	0.12339
3.15	0.12382
3.167	0.12625
3.183	0.12534
3.2	0.12549
3.216	0.12456
3.233	0.12474
3.25	0.12416
3.267	0.12411
3.283	0.12475
3.3	0.12482
3.317	0.12507
3.333	0.12449
3.35	0.12545
3.366	0.12463
3.383	0.12574
3.4	0.12481
3.417	0.12481
3.433	0.12626
3.45	0.12488
3.467	0.12503
3.483	0.12498
3.5	0.12556
3.516	0.12501
3.533	0.11643
3.55	0.11664
3.567	0.11851
3.583	0.11934
3.6	0.11947
3.617	0.11912
3.633	0.11934
3.65	0.12063
3.666	0.1199
3.683	0.1206
3.7	0.11972
3.717	0.11994
3.733	0.12025
3.75	0.1208
3.767	0.12063
3.783	0.1221
3.8	0.12068
3.816	0.12179
3.833	0.12166
3.85	0.12184
3.867	0.12125
3.883	0.12174
