HEADER		
'time'		'total volume'
UNITS		
'minute'	'cm^3'	
0	0	
13	2.262074356	
23	4.184062267	
33	6.632317939	
43	11.12657454	
58	12.63367693	
73	17.46330388	
88	22.35627444	
103	26.41658404	
118	30.7464545	
138	35.17006649	
158	39.28728156	
178	47.71509361	
198	45.21229051	
218	46.40037264	
248	48.08530648	
278	48.0085994	
308	47.73532667	
338	48.75043848	
368	49.64214351	
413	49.27671367	
458	48.23550346	
503	47.9004418	
548	42.33294055	
593	48.72701797	
653	47.42484967	
713	47.30675036	
773	47.32874265	
893	47.91982686	
983	48.48406507	
1073	47.02975088	
1163	47.31512253	
